year,state,production_oz,
1868,Nevada,NA,
1868,Oregon,NA,
1868,South Dakota,NA,
1868,Utah,NA,
1868,Washington,NA,
1868,Wyoming,NA,
1868,Arizona,NA,
1869,North Carolina,NA,
1869,Alabama,NA,
1869,California,881830,
1869,Colorado,153800,
1869,Georgia,1210,
1869,Idaho,NA,
1869,Maryland,NA,
1869,Montana,NA,
1869,Nevada,NA,
1869,Oregon,NA,
1869,South Dakota,NA,
1869,Utah,NA,
1869,Washington,NA,
1869,Wyoming,NA,
1869,Arizona,NA,
1870,North Carolina,NA,
1870,Alabama,NA,
1870,California,844537,
1870,Colorado,145800,
1870,Georgia,1210,
1870,Idaho,NA,
1870,Maryland,NA,
1870,Montana,NA,
1870,Nevada,NA,
1870,Oregon,NA,
1870,South Dakota,NA,
1870,Utah,NA,
1870,Washington,NA,
1870,Wyoming,NA,
1870,Arizona,NA,
1871,North Carolina,NA,
1871,Alabama,NA,
1871,California,845493,
1871,Colorado,175700,
1871,Georgia,1210,
1871,Idaho,NA,
1871,Maryland,NA,
1871,Montana,NA,
1871,Nevada,NA,
1871,Oregon,NA,
1871,South Dakota,NA,
1871,Utah,NA,
1871,Washington,NA,
1871,Wyoming,NA,
1871,Arizona,NA,
1872,North Carolina,NA,
1872,Alabama,NA,
1872,California,748951,
1872,Colorado,128000,
1872,Georgia,1210,
1872,Idaho,NA,
1872,Maryland,NA,
1872,Montana,NA,
1872,Nevada,NA,
1872,Oregon,NA,
1872,South Dakota,NA,
1872,Utah,NA,
1872,Washington,NA,
1872,Wyoming,NA,
1872,Arizona,NA,
1873,North Carolina,NA,
1873,Alabama,NA,
1873,California,726554,
1873,Colorado,97500,
1873,Georgia,1210,
1873,Idaho,NA,
1873,Maryland,NA,
1873,Montana,NA,
1873,Nevada,NA,
1873,Oregon,NA,
1873,South Dakota,NA,
1873,Utah,NA,
1873,Washington,NA,
1873,Wyoming,NA,
1873,Arizona,NA,
1874,North Carolina,NA,
1874,Alabama,NA,
1874,California,835186,
1874,Colorado,104200,
1874,Georgia,1210,
1874,Idaho,NA,
1874,Maryland,NA,
1874,Montana,NA,
1874,Nevada,NA,
1874,Oregon,NA,
1874,South Dakota,NA,
1874,Utah,NA,
1874,Washington,NA,
1874,Wyoming,NA,
1874,Arizona,NA,
1875,North Carolina,NA,
1875,Alabama,NA,
1875,California,816377,
1875,Colorado,107700,
1875,Georgia,1210,
1875,Idaho,NA,
1875,Maryland,NA,
1875,Montana,NA,
1875,Nevada,NA,
1875,Oregon,NA,
1875,South Dakota,NA,
1875,Utah,NA,
1875,Washington,NA,
1875,Wyoming,NA,
1875,Arizona,NA,
1876,North Carolina,NA,
1876,Alabama,NA,
1876,California,755169,
1876,Colorado,132000,
1876,Georgia,1210,
1876,Idaho,NA,
1876,Maryland,NA,
1876,Montana,NA,
1876,Nevada,NA,
1876,Oregon,NA,
1876,South Dakota,60000,
1876,Utah,NA,
1876,Washington,NA,
1876,Wyoming,NA,
1876,Arizona,NA,
1877,North Carolina,NA,
1877,Alabama,NA,
1877,California,798249,
1877,Colorado,152300,
1877,Georgia,1210,
1877,Idaho,NA,
1877,Maryland,NA,
1877,Montana,NA,
1877,Nevada,NA,
1877,Oregon,NA,
1877,South Dakota,100606,
1877,Utah,NA,
1877,Washington,NA,
1877,Wyoming,NA,
1877,Arizona,NA,
1878,North Carolina,NA,
1878,Alabama,NA,
1878,California,911343,
1878,Colorado,157000,
1878,Georgia,1210,
1878,Idaho,NA,
1878,Maryland,NA,
1878,Montana,NA,
1878,Nevada,NA,
1878,Oregon,NA,
1878,South Dakota,157356,
1878,Utah,NA,
1878,Washington,NA,
1878,Wyoming,NA,
1878,Arizona,NA,
1879,North Carolina,NA,
1879,Alabama,NA,
1879,California,949439,
1879,Colorado,154700,
1879,Georgia,1210,
1879,Idaho,NA,
1879,Maryland,NA,
1879,Montana,NA,
1879,Nevada,NA,
1879,Oregon,NA,
1879,South Dakota,117067,
1879,Utah,NA,
1879,Washington,NA,
1879,Wyoming,NA,
1879,Arizona,NA,
1880,North Carolina,NA,
1880,Alabama,NA,
1880,Alaska,NA,
1880,California,968986,
1880,Colorado,157500,
1880,Georgia,1210,
1880,Idaho,NA,
1880,Maryland,NA,
1880,Michigan,NA,
1880,Montana,NA,
1880,Nevada,NA,
1880,Oregon,NA,
1880,South Dakota,174150,
1880,Utah,NA,
1880,Washington,NA,
1880,Wyoming,NA,
1880,Arizona,NA,
1881,North Carolina,NA,
1881,Alabama,NA,
1881,Alaska,NA,
1881,California,929920,
1881,Colorado,159800,
1881,Georgia,1210,
1881,Idaho,NA,
1881,Maryland,NA,
1881,Michigan,NA,
1881,Montana,NA,
1881,Nevada,NA,
1881,Oregon,NA,
1881,South Dakota,193500,
1881,Utah,NA,
1881,Washington,NA,
1881,Wyoming,NA,
1881,Arizona,NA,
1882,North Carolina,NA,
1882,Alabama,NA,
1882,Alaska,NA,
1882,California,829458,
1882,Colorado,162600,
1882,Georgia,1210,
1882,Idaho,NA,
1882,Maryland,NA,
1882,Michigan,NA,
1882,Montana,NA,
1882,Nevada,NA,
1882,Oregon,NA,
1882,South Dakota,159637,
1882,Utah,NA,
1882,Washington,NA,
1882,Wyoming,NA,
1882,Arizona,NA,
1883,North Carolina,NA,
1883,Alabama,NA,
1883,Alaska,NA,
1883,California,1176329,
1883,Colorado,204000,
1883,Georgia,1210,
1883,Idaho,NA,
1883,Maryland,NA,
1883,Michigan,NA,
1883,Montana,NA,
1883,Nevada,NA,
1883,Oregon,NA,
1883,South Dakota,154800,
1883,Utah,NA,
1883,Washington,NA,
1883,Wyoming,NA,
1883,Arizona,NA,
1884,North Carolina,NA,
1884,Alabama,NA,
1884,Alaska,NA,
1884,California,657900,
1884,Colorado,203600,
1884,Georgia,1210,
1884,Idaho,NA,
1884,Maryland,NA,
1884,Michigan,NA,
1884,Montana,NA,
1884,Nevada,NA,
1884,Oregon,NA,
1884,South Dakota,159638,
1884,Utah,NA,
1884,Washington,NA,
1884,Wyoming,NA,
1884,Arizona,NA,
1885,North Carolina,NA,
1885,Alabama,NA,
1885,Alaska,NA,
1885,California,612478,
1885,Colorado,203600,
1885,Georgia,1210,
1885,Idaho,NA,
1885,Maryland,NA,
1885,Michigan,NA,
1885,Montana,NA,
1885,Nevada,NA,
1885,Oregon,NA,
1885,South Dakota,154800,
1885,Utah,NA,
1885,Washington,NA,
1885,Wyoming,NA,
1885,Arizona,NA,
1886,North Carolina,NA,
1886,Alabama,NA,
1886,Alaska,NA,
1886,California,711911,
1886,Colorado,215200,
1886,Georgia,1210,
1886,Idaho,NA,
1886,Maryland,NA,
1886,Michigan,1859,
1886,Montana,NA,
1886,Nevada,NA,
1886,Oregon,NA,
1886,South Dakota,130612,
1886,Utah,NA,
1886,Washington,NA,
1886,Wyoming,NA,
1886,Arizona,NA,
1887,North Carolina,NA,
1887,Alabama,NA,
1887,Alaska,NA,
1887,California,657349,
1887,Colorado,193600,
1887,Georgia,1210,
1887,Idaho,1560,
1887,Maryland,NA,
1887,Michigan,NA,
1887,Montana,NA,
1887,Nevada,NA,
1887,Oregon,NA,
1887,South Dakota,116110,
1887,Utah,NA,
1887,Washington,NA,
1887,Wyoming,NA,
1887,Arizona,NA,
1888,North Carolina,NA,
1888,Alabama,NA,
1888,Alaska,NA,
1888,California,616000,
1888,Colorado,181700,
1888,Georgia,1210,
1888,Idaho,2528,
1888,Maryland,NA,
1888,Michigan,NA,
1888,Montana,NA,
1888,Nevada,NA,
1888,Oregon,NA,
1888,South Dakota,125775,
1888,Utah,NA,
1888,Washington,NA,
1888,Wyoming,NA,
1888,Arizona,NA,
1889,North Carolina,NA,
1889,Alabama,NA,
1889,Alaska,NA,
1889,California,542425,
1889,Colorado,187900,
1889,Georgia,1210,
1889,Idaho,4349,
1889,Maryland,NA,
1889,Michigan,NA,
1889,Montana,NA,
1889,Nevada,NA,
1889,Oregon,NA,
1889,South Dakota,140287,
1889,Utah,NA,
1889,Washington,NA,
1889,Wyoming,NA,
1889,Arizona,NA,
1890,North Carolina,NA,
1890,Alabama,NA,
1890,Alaska,NA,
1890,California,595486,
1890,Colorado,200950,
1890,Georgia,1210,
1890,Idaho,3435,
1890,Maryland,NA,
1890,Michigan,NA,
1890,Montana,NA,
1890,Nevada,NA,
1890,Oregon,NA,
1890,South Dakota,154800,
1890,Utah,NA,
1890,Washington,NA,
1890,Wyoming,NA,
1890,Arizona,NA,
1891,North Carolina,NA,
1891,Alabama,NA,
1891,Alaska,NA,
1891,California,615759,
1891,Colorado,222500,
1891,Georgia,1210,
1891,Idaho,3900,
1891,Maryland,NA,
1891,Michigan,NA,
1891,Montana,NA,
1891,Nevada,NA,
1891,Oregon,NA,
1891,South Dakota,171131,
1891,Utah,NA,
1891,Washington,NA,
1891,Wyoming,NA,
1891,Arizona,NA,
1892,North Carolina,NA,
1892,Alabama,NA,
1892,Alaska,NA,
1892,California,608166,
1892,Colorado,256400,
1892,Georgia,1210,
1892,Idaho,4608,
1892,Maryland,NA,
1892,Michigan,NA,
1892,Montana,NA,
1892,Nevada,NA,
1892,Oregon,NA,
1892,South Dakota,178987,
1892,Utah,NA,
1892,Washington,NA,
1892,Wyoming,NA,
1892,Arizona,NA,
1893,North Carolina,NA,
1893,Alabama,NA,
1893,Alaska,NA,
1893,California,606564,
1893,Colorado,364151,
1893,Georgia,1210,
1893,Idaho,4856,
1893,Maryland,NA,
1893,Michigan,NA,
1893,Montana,NA,
1893,Nevada,NA,
1893,Oregon,NA,
1893,South Dakota,193809,
1893,Utah,NA,
1893,Washington,NA,
1893,Wyoming,NA,
1893,Arizona,NA,
1894,North Carolina,NA,
1894,Alabama,NA,
1894,Alaska,NA,
1894,California,670636,
1894,Colorado,454000,
1894,Georgia,1210,
1894,Idaho,4794,
1894,Maryland,NA,
1894,Michigan,NA,
1894,Montana,NA,
1894,Nevada,NA,
1894,Oregon,NA,
1894,South Dakota,159594,
1894,Utah,NA,
1894,Washington,NA,
1894,Wyoming,NA,
1894,Arizona,NA,
1895,North Carolina,NA,
1895,Alabama,NA,
1895,Alaska,NA,
1895,California,741798,
1895,Colorado,644000,
1895,Georgia,1210,
1895,Idaho,6218,
1895,Maryland,NA,
1895,Michigan,NA,
1895,Montana,NA,
1895,Nevada,NA,
1895,Oregon,NA,
1895,South Dakota,187187,
1895,Utah,NA,
1895,Washington,NA,
1895,Wyoming,NA,
1895,Arizona,NA,
1896,North Carolina,NA,
1896,Alabama,NA,
1896,Alaska,NA,
1896,California,831158,
1896,Colorado,721000,
1896,Georgia,1210,
1896,Idaho,3062,
1896,Maryland,NA,
1896,Michigan,1740,
1896,Montana,NA,
1896,Nevada,NA,
1896,Oregon,NA,
1896,South Dakota,240414,
1896,Utah,NA,
1896,Washington,NA,
1896,Wyoming,NA,
1896,Arizona,NA,
1897,North Carolina,NA,
1897,Alabama,NA,
1897,Alaska,NA,
1897,California,767779,
1897,Colorado,947249,
1897,Georgia,1210,
1897,Idaho,4097,
1897,Maryland,NA,
1897,Michigan,NA,
1897,Montana,NA,
1897,Nevada,NA,
1897,Oregon,NA,
1897,South Dakota,275491,
1897,Utah,NA,
1897,Washington,NA,
1897,Wyoming,NA,
1897,Arizona,NA,
1898,North Carolina,NA,
1898,Alabama,NA,
1898,Alaska,NA,
1898,California,769476,
1898,Colorado,1138584,
1898,Georgia,1210,
1898,Idaho,5041,
1898,Maryland,NA,
1898,Michigan,NA,
1898,Montana,NA,
1898,Nevada,NA,
1898,Oregon,NA,
1898,South Dakota,275723,
1898,Utah,NA,
1898,Washington,NA,
1898,Wyoming,NA,
1898,Arizona,NA,
1899,North Carolina,NA,
1899,Alabama,NA,
1899,Alaska,NA,
1899,California,741881,
1899,Colorado,1282471,
1899,Georgia,1210,
1899,Idaho,7029,
1899,Maryland,NA,
1899,Michigan,NA,
1899,Montana,NA,
1899,Nevada,NA,
1899,Oregon,NA,
1899,South Dakota,312962,
1899,Utah,NA,
1899,Washington,NA,
1899,Wyoming,NA,
1899,Arizona,NA,
1900,North Carolina,NA,
1900,Alabama,NA,
1900,Alaska,NA,
1900,California,767390,
1900,Colorado,1391487,
1900,Georgia,1210,
1900,Idaho,1403,
1900,Maryland,NA,
1900,Michigan,NA,
1900,Montana,NA,
1900,Nevada,NA,
1900,Oregon,NA,
1900,South Dakota,298842,
1900,Utah,NA,
1900,Washington,NA,
1900,Wyoming,NA,
1900,Arizona,NA,
1901,North Carolina,NA,
1901,Alabama,NA,
1901,Alaska,NA,
1901,California,821845,
1901,Colorado,1339112,
1901,Georgia,1210,
1901,Idaho,1833,
1901,Maryland,NA,
1901,Michigan,NA,
1901,Montana,NA,
1901,Nevada,NA,
1901,Oregon,NA,
1901,South Dakota,313446,
1901,Utah,NA,
1901,Washington,NA,
1901,Wyoming,NA,
1901,Arizona,NA,
1902,North Carolina,NA,
1902,Alabama,NA,
1902,Alaska,NA,
1902,California,818037,
1902,Colorado,1380000,
1902,Georgia,1210,
1902,Idaho,142,
1902,Maryland,NA,
1902,Michigan,NA,
1902,Montana,NA,
1902,Nevada,NA,
1902,Oregon,NA,
1902,South Dakota,336952,
1902,Utah,NA,
1902,Washington,NA,
1902,Wyoming,NA,
1902,Arizona,NA,
1903,North Carolina,NA,
1903,Alabama,NA,
1903,Alaska,NA,
1903,California,788544,
1903,Colorado,1045252,
1903,Georgia,1210,
1903,Idaho,237,
1903,Maryland,NA,
1903,Michigan,NA,
1903,Montana,NA,
1903,Nevada,NA,
1903,Oregon,NA,
1903,South Dakota,330243,
1903,Utah,NA,
1903,Washington,NA,
1903,Wyoming,NA,
1903,Arizona,NA,
1904,North Carolina,NA,
1904,Alabama,NA,
1904,Alaska,NA,
1904,California,901484,
1904,Colorado,1172000,
1904,Georgia,1210,
1904,Idaho,141,
1904,Maryland,NA,
1904,Michigan,NA,
1904,Montana,NA,
1904,Nevada,NA,
1904,Oregon,NA,
1904,South Dakota,356264,
1904,Utah,NA,
1904,Washington,NA,
1904,Wyoming,NA,
1904,Arizona,NA,
1905,North Carolina,NA,
1905,Alabama,2009,
1905,Alaska,756101,
1905,California,914217,
1905,Colorado,1224000,
1905,Georgia,1210,
1905,Idaho,4688,
1905,Maryland,717,
1905,Michigan,NA,
1905,Montana,231914,
1905,Nevada,254928,
1905,Oregon,167978,
1905,South Dakota,334460,
1905,Utah,248692,
1905,Washington,19597,
1905,Wyoming,1294,
1905,Arizona,135412,
1906,North Carolina,NA,
1906,Alabama,1206,
1906,Alaska,1066030,
1906,California,906182,
1906,Colorado,1110000,
1906,Georgia,1502,
1906,Idaho,55,
1906,Maryland,NA,
1906,Michigan,NA,
1906,Montana,216189,
1906,Nevada,506565,
1906,Oregon,397366,
1906,South Dakota,319512,
1906,Utah,252439,
1906,Washington,10723,
1906,Wyoming,315,
1906,Arizona,143417,
1907,North Carolina,NA,
1907,Alabama,1257,
1907,Alaska,936043,
1907,California,809214,
1907,Colorado,982500,
1907,Georgia,3135,
1907,Idaho,60,
1907,Maryland,NA,
1907,Michigan,NA,
1907,Montana,158970,
1907,Nevada,585311,
1907,Oregon,397654,
1907,South Dakota,200185,
1907,Utah,247760,
1907,Washington,12533,
1907,Wyoming,452,
1907,Arizona,126613,
1908,North Carolina,NA,
1908,Alabama,1994,
1908,Alaska,933290,
1908,California,907590,
1908,Colorado,1092500,
1908,Georgia,2719,
1908,Idaho,69,
1908,Maryland,NA,
1908,Michigan,NA,
1908,Montana,147913,
1908,Nevada,549682,
1908,Oregon,471641,
1908,South Dakota,374529,
1908,Utah,179055,
1908,Washington,11719,
1908,Wyoming,385,
1908,Arizona,117647,
1909,North Carolina,NA,
1909,Alabama,1415,
1909,Alaska,987417,
1909,California,979007,
1909,Colorado,1063000,
1909,Georgia,2933,
1909,Idaho,70,
1909,Maryland,NA,
1909,Michigan,NA,
1909,Montana,183414,
1909,Nevada,785608,
1909,Oregon,637828,
1909,South Dakota,317998,
1909,Utah,203492,
1909,Washington,17516,
1909,Wyoming,198,
1909,Arizona,132427,
1910,North Carolina,NA,
1910,Alabama,1622,
1910,Alaska,780131,
1910,California,953734,
1910,Colorado,991500,
1910,Georgia,1722,
1910,Idaho,53,
1910,Maryland,NA,
1910,Michigan,NA,
1910,Montana,180462,
1910,Nevada,913265,
1910,Oregon,232870,
1910,South Dakota,260267,
1910,Utah,195052,
1910,Washington,38130,
1910,Wyoming,155,
1910,Arizona,152351,
1911,North Carolina,NA,
1911,Alabama,915,
1911,Alaska,815276,
1911,California,954870,
1911,Colorado,920000,
1911,Georgia,1697,
1911,Idaho,66,
1911,Maryland,5,
1911,Michigan,NA,
1911,Montana,179499,
1911,Nevada,880106,
1911,Oregon,30041,
1911,South Dakota,359904,
1911,Utah,227217,
1911,Washington,41010,
1911,Wyoming,929,
1911,Arizona,165951,
1912,North Carolina,NA,
1912,Alabama,809,
1912,Alaska,829436,
1912,California,953640,
1912,Colorado,900000,
1912,Georgia,695,
1912,Idaho,66,
1912,Maryland,NA,
1912,Michigan,NA,
1912,Montana,175371,
1912,Nevada,650943,
1912,Oregon,803237,
1912,South Dakota,381745,
1912,Utah,206360,
1912,Washington,32945,
1912,Wyoming,1076,
1912,Arizona,181997,
1913,North Carolina,NA,
1913,Alabama,537,
1913,Alaska,755947,
1913,California,987187,
1913,Colorado,878000,
1913,Georgia,731,
1913,Idaho,65,
1913,Maryland,NA,
1913,Michigan,NA,
1913,Montana,168995,
1913,Nevada,570589,
1913,Oregon,778740,
1913,South Dakota,354071,
1913,Utah,172438,
1913,Washington,33685,
1913,Wyoming,1170,
1913,Arizona,194657,
1914,North Carolina,NA,
1914,Alabama,579,
1914,Alaska,762596,
1914,California,999113,
1914,Colorado,962000,
1914,Georgia,787,
1914,Idaho,55,
1914,Maryland,11,
1914,Michigan,NA,
1914,Montana,199204,
1914,Nevada,555402,
1914,Oregon,634476,
1914,South Dakota,354758,
1914,Utah,157961,
1914,Washington,26956,
1914,Wyoming,242,
1914,Arizona,202167,
1915,North Carolina,NA,
1915,Alabama,254,
1915,Alaska,807966,
1915,California,1085646,
1915,Colorado,1084323,
1915,Georgia,1733,
1915,Idaho,57,
1915,Maryland,NA,
1915,Michigan,NA,
1915,Montana,242078,
1915,Nevada,551683,
1915,Oregon,832190,
1915,South Dakota,358280,
1915,Utah,174590,
1915,Washington,18937,
1915,Wyoming,706,
1915,Arizona,201531,
1916,North Carolina,NA,
1916,Alabama,418,
1916,Alaska,834068,
1916,California,1035745,
1916,Colorado,926566,
1916,Georgia,1090,
1916,Idaho,53,
1916,Maryland,NA,
1916,Michigan,NA,
1916,Montana,220130,
1916,Nevada,428904,
1916,Oregon,126992,
1916,South Dakota,360909,
1916,Utah,172938,
1916,Washington,27947,
1916,Wyoming,995,
1916,Arizona,192801,
1917,North Carolina,NA,
1917,Alabama,109,
1917,Alaska,709049,
1917,California,971733,
1917,Colorado,760901,
1917,Georgia,333,
1917,Idaho,38,
1917,Maryland,5,
1917,Michigan,NA,
1917,Montana,170147,
1917,Nevada,336664,
1917,Oregon,72166,
1917,South Dakota,356245,
1917,Utah,162306,
1917,Washington,23818,
1917,Wyoming,182,
1917,Arizona,245174,
1918,North Carolina,NA,
1918,Alabama,39,
1918,Alaska,458641,
1918,California,799588,
1918,Colorado,616864,
1918,Georgia,285,
1918,Idaho,33,
1918,Maryland,NA,
1918,Michigan,150193,
1918,Montana,320239,
1918,Nevada,33030,
1918,New Mexico,NA,
1918,Oregon,7961,
1918,South Dakota,317598,
1918,Tennessee,235,
1918,Texas,1,
1918,Utah,142666,
1918,Vermont,4,
1918,Virginia,19,
1918,Washington,14739,
1918,Wyoming,42,
1918,Arizona,262919,
1919,Alabama,0,
1919,Alaska,455984,
1919,Arizona,217998,
1919,California,807667,
1919,Colorado,478265,
1919,Georgia,37,
1919,Idaho,34,
1919,Maryland,NA,
1919,Michigan,107856,
1919,Montana,219695,
1919,Nevada,31717,
1919,New Mexico,NA,
1919,North Carolina,NA,
1919,Oregon,7303,
1919,South Dakota,235250,
1919,Tennessee,274,
1919,Texas,1,
1919,Utah,104464,
1919,Vermont,NA,
1919,Virginia,18,
1919,Washington,12233,
1919,Wyoming,4,
1920,Alabama,14,
1920,Alaska,404683,
1920,Arizona,231529,
1920,California,692297,
1920,Colorado,366504,
1920,Georgia,35,
1920,Idaho,23,
1920,Maryland,NA,
1920,Michigan,89550,
1920,Montana,172540,
1920,Nevada,23235,
1920,New Mexico,NA,
1920,North Carolina,NA,
1920,Oregon,7249,
1920,South Dakota,226224,
1920,Tennessee,282,
1920,Texas,NA,
1920,Utah,97454,
1920,Vermont,NA,
1920,Virginia,NA,
1920,Washington,5847,
1920,Wyoming,NA,
1921,Alabama,0,
1921,Alaska,390558,
1921,Arizona,141753,
1921,California,759721,
1921,Colorado,330659,
1921,Georgia,49,
1921,Idaho,26,
1921,Maryland,NA,
1921,Michigan,71632,
1921,Montana,160255,
1921,Nevada,9521,
1921,New Mexico,NA,
1921,North Carolina,NA,
1921,Oregon,5642,
1921,South Dakota,319525,
1921,Tennessee,238,
1921,Texas,NA,
1921,Utah,85619,
1921,Vermont,NA,
1921,Virginia,NA,
1921,Washington,6216,
1921,Wyoming,3,
1922,Alabama,0,
1922,Alaska,359057,
1922,Arizona,170480,
1922,California,709678,
1922,Colorado,308314,
1922,Georgia,156,
1922,Idaho,24,
1922,Maryland,NA,
1922,Michigan,80146,
1922,Montana,159511,
1922,Nevada,19964,
